1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
年度	予算区分	予算区分名称	対象年月	部	課	係	部名称	課名称	係名称	会計	会計名称	款	項	目	大事業	中事業	小事業	節	細節	細々節	款名称	項名称	目名称	大事業名称	中事業名称	小事業名称	節名称	細節名称	細々節名称	予算額	充流用等増減額	計	本月分	累計	予算残額	執行率
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'03	'00	'00	'18	'00	'00	土木費	道路橋りょう費	道路新設改良費	県工事負担金			負担金，補助及び交付金			52,650,000	0	52,650,000	0	#######	24,190	100
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'03	'00	'00	'18	'91	'00	土木費	道路橋りょう費	道路新設改良費	県工事負担金			負担金，補助及び交付金	その他負担金，補助及び交付金		52,650,000	0	52,650,000	0	#######	24,190	100
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'03	'00	'00	'18	'91	'01	土木費	道路橋りょう費	道路新設改良費	県工事負担金			負担金，補助及び交付金	その他負担金，補助及び交付金	県道路工事負担金	52,650,000	0	52,650,000	0	#######	24,190	100
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'05	'00	'00	'00	'00	'00	土木費	道路橋りょう費	道路新設改良費	道路舗装新設等事業（単独分）						10,400,000	0	10,400,000	0	8,927,150	1,472,850	85.8
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'05	'00	'00	'12	'00	'00	土木費	道路橋りょう費	道路新設改良費	道路舗装新設等事業（単独分）			委託料			400,000	0	400,000	0	122,750	277,250	30.7
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'05	'00	'00	'12	'13	'00	土木費	道路橋りょう費	道路新設改良費	道路舗装新設等事業（単独分）			委託料	測量等委託料		400,000	0	400,000	0	122,750	277,250	30.7
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'05	'00	'00	'12	'13	'01	土木費	道路橋りょう費	道路新設改良費	道路舗装新設等事業（単独分）			委託料	測量等委託料	測量等委託料	400,000	0	400,000	0	122,750	277,250	30.7
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'05	'00	'00	'14	'00	'00	土木費	道路橋りょう費	道路新設改良費	道路舗装新設等事業（単独分）			工事請負費			10,000,000	0	10,000,000	0	8,804,400	1,195,600	88
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'05	'00	'00	'14	'01	'00	土木費	道路橋りょう費	道路新設改良費	道路舗装新設等事業（単独分）			工事請負費	工事請負費		10,000,000	0	10,000,000	0	8,804,400	1,195,600	88
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'05	'00	'00	'14	'01	'01	土木費	道路橋りょう費	道路新設改良費	道路舗装新設等事業（単独分）			工事請負費	工事請負費	工事請負費	10,000,000	0	10,000,000	0	8,804,400	1,195,600	88
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'10	'00	'00	'00	'00	'00	土木費	道路橋りょう費	道路新設改良費	清音神在本線周辺整備事業						5,000,000	0	5,000,000	0	3,399,000	1,601,000	68
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'10	'00	'00	'14	'00	'00	土木費	道路橋りょう費	道路新設改良費	清音神在本線周辺整備事業			工事請負費			5,000,000	0	5,000,000	0	3,399,000	1,601,000	68
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'10	'00	'00	'14	'01	'00	土木費	道路橋りょう費	道路新設改良費	清音神在本線周辺整備事業			工事請負費	工事請負費		5,000,000	0	5,000,000	0	3,399,000	1,601,000	68
